u16	.
u20	.
u25	.
u27	.
u55	.
u64	.
u89	u55
u105	u16
u107	u25
u128	.
u145	u27
u147	u55
u165	.
u175	.
u191	.
u258	.
u260	.
u278	u16
u317	u16
u319	u16
u320	u16
u374	.
u381	u16
u403	.
u405	.
u407	.
u410	.
u425	u16
u443	u25
u449	.
u469	u55
u477	.
u511	.
u530	.
u531	.
u550	.
u551	u16
u554	u16
u556	.
u566	u25
u567	u260
u572	u260
u581	.
u602	.
u613	u16
u630	u16
u639	u27
u652	u16
u654	u16
u665	.
u677	u16
u691	u16
u693	.
u701	.
u703	.
u704	u16
u705	u16
u710	.
u717	.
u741	.
u746	u16
u785	.
u790	.
u793	.
u805	u16
u806	.
u809	u20
u816	.
u824	.
u836	u16
u842	u16
u852	u556
u873	u260
u874	u16
u879	.
u880	.
u907	u449
u917	u16
u924	u741
u932	.
u935	u16
u944	.
u952	u260
u959	u64
u967	u16
u970	.
u978	.
u981	u16
u991	.
u994	.
u995	u25
u997	.
u1033	u16
u1041	.
u1050	u25
u1059	u16
u1061	u64
u1081	u16
u1087	.
u1095	.
u1112	.
u1132	.
u1143	u27
u1162	.
u1173	u16
u1187	u16
u1194	u16
u1200	u16
u1214	u16
u1247	.
u1277	u25
u1297	.
u1310	.
u1321	u16
u1329	u16
u1342	u55
u1353	.
u1358	.
u1364	.
u1385	u16
u1387	.
u1391	u944
u1404	u16
u1406	u449
u1429	u16
u1431	u260
u1432	u16
u1439	u997
u1441	u16
u1442	.
u1445	u1041
u1458	u997
u1469	u556
u1484	u64
u1500	u16
u1503	u27
u1513	.
u1525	.
u1532	u944
u1536	.
u1537	.
u1543	.
u1550	.
u1581	.
u1592	u55
u1596	u55
u1616	u410
u1617	u16
u1631	.
u1633	u27
u1665	u25
u1680	.
u1683	u16
u1686	u16
u1696	u16
u1699	.
u1709	u16
u1710	u1095
u1730	u16
u1732	u806
u1738	u556
u1741	.
u1759	.
u1774	.
u1777	.
u1791	u16
u1831	.
u1845	u25
u1857	u556
u1899	u16
u1935	.
u1938	u1680
u1958	.
u1961	.
u1964	.
u1970	.
u1971	.
u1972	.
u1999	u55
u2000	.
u2006	u25
u2007	u260
u2008	.
u2010	.
u2012	.
u2017	u55
u2022	u2010
u2023	.
u2026	.
u2031	.
u2037	u64
u2043	.
u2056	u550
u2066	u970
u2069	u1095
u2070	u55
u2074	u1631
u2083	.
u2104	u16
u2115	u16
u2134	.
u2143	.
u2147	u2012
u2159	u16
u2180	.
u2182	u16
u2184	.
u2186	.
u2189	u16
u2201	u16
u2208	u16
u2218	.
u2225	u556
u2226	.
u2232	u25
u2259	u449
u2267	.
u2268	u16
u2277	.
u2321	u1831
u2337	u16
u2369	u2008
u2374	u449
u2416	u1777
u2425	u1095
u2429	u16
u2444	.
u2447	.
u2454	u16
u2472	.
u2482	u879
u2499	u16
u2500	u410
u2507	u556
u2522	.
u2526	.
u2534	u2043
u2535	u16
u2539	.
u2544	.
u2553	.
u2554	u16
u2557	u16
u2577	u1536
u2578	u27
u2598	.
u2607	.
u2619	.
u2628	u55
u2657	u944
u2678	u16
u2679	u260
u2701	.
u2712	u410
u2714	.
u2716	.
u2740	.
u2744	.
u2745	u16
u2753	u16
u2768	u693
u2772	u16
u2780	u16
u2781	.
u2789	.
u2793	.
u2802	u944
u2811	.
u2813	.
u2828	u806
u2833	.
u2840	.
u2843	u449
u2845	u991
u2846	u449
u2856	u16
u2883	u16
u2888	u1297
u2989	u2793
u3018	.
u3031	.
u3080	.
u3085	u1041
u3088	u449
u3111	.
u3119	u994
u3124	u191
u3127	.
u3132	.
