Name	Status	NCBI_TaxID	ICTV
Jasmine virus H	NCBI_only	1960887	.
Marine virus AFVG_250C01128	NCBI_only	2573884	.
Miniopterus schreibersii astrovirus 2	NCBI_only	1195285	.
Miniopterus schreibersii astrovirus 3	NCBI_only	1195286	.
Capybara microvirus Cap1_SP_131	NCBI_only	2585382	.
Escherichia virus HK022	Both	10742	2019.v1.1687
Miniopterus schreibersii astrovirus 6	NCBI_only	1195289	.
Miniopterus schreibersii astrovirus 7	NCBI_only	1195290	.
Miniopterus schreibersii astrovirus 4	NCBI_only	1195287	.
Miniopterus schreibersii astrovirus 5	NCBI_only	1195288	.
Miniopterus schreibersii astrovirus 8	NCBI_only	1195291	.
Miniopterus schreibersii astrovirus 9	NCBI_only	1195292	.
Gaeumannomyces graminis virus 0196A	ICTV_only	.	2019.v1.4924
Melon chlorotic mosaic virus	Both	180399	2019.v1.2809
Plasmopara viticola lesion associated narnavirus 3	NCBI_only	2719514	.
Mycobacterium phage Gruunaga	NCBI_only	1897770	.
Flavobacterium phage FPSV-D19	NCBI_only	2575339	.
Dashli phlebovirus	Both	2734445	2019.v1.4746
Flavobacterium phage FPSV-D15	NCBI_only	2575338	.
Chicken associated huchismacovirus 2	Both	2169933	2019.v1.2602
Chicken associated huchismacovirus 1	Both	2169932	2019.v1.2601
Flavobacterium phage vB_FspP_elemoA_7-9C	NCBI_only	2743834	.
Adenovirus Lopburi078/2006/THA	NCBI_only	517345	.
Marine virus AFVG_250M889	NCBI_only	2694108	.
Marine virus AFVG_250M888	NCBI_only	2694107	.
Marine virus AFVG_250M885	NCBI_only	2694104	.
Marine virus AFVG_250M884	NCBI_only	2694103	.
Marine virus AFVG_250M887	NCBI_only	2694106	.
Marine virus AFVG_250M886	NCBI_only	2694105	.
Marine virus AFVG_250M881	NCBI_only	2694100	.
Marine virus AFVG_250M880	NCBI_only	2694099	.
Marine virus AFVG_250M883	NCBI_only	2694102	.
Marine virus AFVG_250M882	NCBI_only	2694101	.
Mycobacterium phage Nerujay	NCBI_only	1647308	.
Chilli leaf curl Salem virus-India [India/Salem/2008]	NCBI_only	1000663	.
Rhizobium phage RHph_Y3_36	NCBI_only	2509777	.
Pteropus vampyrus polyomavirus 1	Both	1891743	2019.v1.2183
Wuhan Millipede Virus 1	NCBI_only	1608124	.
Rhizobium phage RHph_Y3_38	NCBI_only	2509579	.
Bat Paramyxovirus Myo_myo/N78-16/GER/2008	NCBI_only	1112669	.
